,pct_missing_in_fielded_waves
E069_46,98.94968740696636
E069_57,98.81761848936527
E069_56,98.77773911181305
E069_25,98.50648832536649
E203,98.46948122241652
E206,98.3962028478641
E204,98.28461986843202
E069_35,98.19302190024149
E208,98.02314930468815
E207,97.99650262303273
E069_28,97.96152885335998
E069_42,97.90941569666936
E069_30,97.7156797516079
E069_66,97.63320304464102
E069_27,96.55627017569799
E069_59,96.43922156490082
E069_55,95.92365553979174
E069_67,95.55646986216829
E069_34,95.46673328337081
E069_26,94.49517036485953
E129B,94.21970824650194
E069_22,93.37836672334343
E069_43,92.87671738809277
E069_21,91.32872840495155
E129A,82.78535278356654
E127,82.27659410419183
E129C,72.80976481095564
E067,71.64793071862769
E068,71.39145640769424
E066,71.2349071529686
E069_19,60.16862429363652
E113,57.963340417661016
E069_45,56.20519330003587
E110,54.76016044914154
E129,46.63668914980431
E009,46.31447737027423
E007,43.417975275643165
B006,36.39954393680267
E059,35.984200667806824
E267,34.513481828839396
E134,34.20802385052302
E111,34.05554789900118
E069_41,33.20505244496971
E112,31.122201025655905
E241,27.45340875260494
E129D,27.04258654809941
E138,26.961533120399945
E239,26.944924084548973
E137,26.432439938897375
E139,25.860991528954315
E135,25.763088459936117
E240,25.245608812146468
E109,24.057333659092762
E195,23.854378164434962
E120,22.926383438631103
E247,22.393569514736527
E121,21.85575535132704
E069_61,21.850442295823903
F136,21.658929880283413
E122,21.50033003779114
E194,21.18918502146033
E124,21.04042112166961
E123,20.988227443186354
E038,20.917827184624155
E193,20.880773085918424
E118,20.470842221593976
E069_65,20.18411849413701
E069_63,19.774737708290473
E266,19.078084428621143
E012,17.43271520311711
E198,17.363591971009278
E105,16.764394494665687
E069_20,16.31430438325792
E069_62,16.30220119317013
E133,16.093962836361765
E106,16.031435784673018
E232,16.02262578148258
E107,14.52072644352146
E034,13.277371938299229
E231,13.13605239654659
E062,13.030404276645507
E238,12.982021435980176
E143,12.8816704172909
E230,12.5323012801429
E116,12.12217618685194
E228,11.592184960850938
E039,11.042266396725617
E041,10.876861073660098
B008,10.678791942695346
E114,10.489375292139698
E002,9.625075892063595
E117,9.413322304422413
E225,9.266878416309646
E069_40,9.236962623725809
E036,9.156449613441033
E229,8.4451174471857
E006,7.888157606173863
E069_02,7.804720759073526
G056,7.730919563875746
E117B,7.125077144620448
E224,6.966317033535234
E001,6.782153418547905
E227,6.480647067513664
H007,6.326131859543348
E226,6.211774265031762
E004,5.819999639223609
E005,5.55864638569097
E290,4.930055544126723
E235,4.796498744275373
F114E,4.6523349105122405
E035,4.550984461460683
E233B,4.531413122038708
H010,4.462044846739354
E233A,4.130417324731643
H011,4.069121579921827
E037,3.9731659514152287
E003,3.488482213723934
H009,3.482822464513475
G057,3.1670438181444145
G060,2.9047521086196255
G058,2.880065830076116
G055,2.8049783995062745
G053,2.786463690598642
G052,2.605430981279572
G059,2.370911335116231
H008_07,2.09010491668381
H008_08,1.7362682575601727
