wave,B006,B008,E001,E002,E003,E004,E005,E006,E007,E009,E012,E034,E035,E036,E037,E038,E039,E041,E059,E062,E066,E067,E068,E069_02,E069_19,E069_20,E069_21,E069_22,E069_25,E069_26,E069_27,E069_28,E069_30,E069_34,E069_35,E069_40,E069_41,E069_42,E069_43,E069_45,E069_46,E069_55,E069_56,E069_57,E069_59,E069_61,E069_62,E069_63,E069_65,E069_66,E069_67,E105,E106,E107,E109,E110,E111,E112,E113,E114,E116,E117,E117B,E118,E120,E121,E122,E123,E124,E127,E129,E129A,E129B,E129C,E129D,E133,E134,E135,E137,E138,E139,E143,E193,E194,E195,E198,E203,E204,E206,E207,E208,E224,E225,E226,E227,E228,E229,E230,E231,E232,E233A,E233B,E235,E238,E239,E240,E241,E247,E266,E267,E290,F114E,F136,G052,G053,G055,G056,G057,G058,G059,G060,H007,H008_07,H008_08,H009,H010,H011
1.0,100.0,100.0,100.0,100.0,18.036286019210245,21.635781507713205,100.0,100.0,100.0,100.0,18.550499660424954,38.110022314931605,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.36819637139808,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2.0,36.39954393680267,100.0,4.116784754458832,7.936314032087304,2.927762847137389,6.0713413144392865,2.7893150908054403,5.627494095610392,100.0,100.0,14.11759915302549,13.950647446860492,9.540679208404592,13.392784428699406,9.377799495072889,20.917827184624155,10.489453538561772,12.179330564378207,35.984200667806824,100.0,100.0,100.0,100.0,7.33773108559329,52.50020359964166,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.764394494665687,16.031435784673018,14.52072644352146,24.057333659092762,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.658929880283413,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3.0,100.0,19.43637718779717,11.620704721272714,15.474568865815108,3.820452851525354,6.769641985144825,8.021280423552392,11.659256213215452,43.417975275643165,46.31447737027423,22.258346398005603,14.702253977228919,8.196047187026139,10.254696856768357,8.568711609139273,100.0,14.098280603459354,16.688940862011357,100.0,13.030404276645507,100.0,100.0,100.0,6.728520393739237,100.0,23.706597445321133,100.0,98.50034696342749,98.71366521884397,96.47253848723946,97.21015703307718,100.0,96.80536636767843,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.62939165745713,19.449227685111413,18.40191215400036,31.51070446426277,13.721761032151944,11.95738775090596,13.588115860083786,100.0,20.470842221593976,24.828445860854814,23.151455961345704,22.970263949214832,24.05741602200005,78.66174920969442,82.27659410419183,100.0,100.0,100.0,100.0,27.04258654809941,16.093962836361765,34.20802385052302,100.0,100.0,100.0,100.0,17.96628029504742,20.880773085918424,21.18918502146033,23.854378164434962,17.363591971009278,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4.0,100.0,12.96361062536431,6.796569239736865,8.823382463152637,3.0077441918561076,4.473311682904488,6.34857190440503,8.30543758847531,100.0,100.0,39.6619202264968,22.864518277958197,6.261970189024899,14.629028228828378,3.9020734449163124,100.0,38.999084020318094,100.0,100.0,100.0,71.2349071529686,71.64793071862769,71.39145640769424,14.27762511449746,64.52493962861188,19.910067449412942,85.15280206511783,95.45507536014655,98.23798817553502,96.49263052710467,94.19768506953119,97.96152885335998,97.88991589641103,95.46673328337081,98.19302190024149,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.52976933966192,52.985261054209346,47.607627612623865,92.2458156382713,14.777250395536681,20.10159047381131,14.449163127654261,100.0,100.0,20.46132067615955,20.17653426596719,19.595303522358233,17.010575401781995,9.284703139312182,100.0,46.63668914980431,100.0,100.0,100.0,100.0,100.0,100.0,29.323007744191855,29.514530768590223,30.10242318261304,29.031559663585643,11.298193021900243,100.0,100.0,100.0,100.0,98.46948122241652,98.28461986843202,98.3962028478641,97.99650262303273,98.02314930468815,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5.0,100.0,11.346233998213755,11.200952664483477,14.183983328371538,4.019053289669545,6.57814825841024,10.459065197975589,12.594224471568918,100.0,100.0,15.379577255135457,100.0,3.547484370348318,12.943137838642455,2.936588270318547,100.0,7.208097648109556,11.23072342959214,100.0,100.0,100.0,100.0,100.0,10.357844596606133,98.97112235784459,13.81601667162846,92.83358142304257,100.0,100.0,95.18904435844001,100.0,100.0,100.0,100.0,100.0,14.815123548675203,98.85799345043168,98.88776421554034,96.97648109556415,98.93182494790116,98.94968740696636,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.256921702887764,10.704376302470973,9.240845489729086,100.0,100.0,100.0,100.0,100.0,100.0,15.424828818100625,100.0,100.0,82.78535278356654,94.21970824650194,72.80976481095564,100.0,100.0,100.0,23.21762429294433,24.228639476034534,24.715689193212263,23.593926763917832,17.656445370646026,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13.924382256623996,17.158678178029174,12.62161357546889,13.303959511759453,18.57933908901459,15.266448347722536,12.5323012801429,13.13605239654659,16.02262578148258,100.0,100.0,10.666269723131885,25.50044656147663,26.944924084548973,25.245608812146468,27.45340875260494,22.393569514736527,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6.0,100.0,7.310891531290125,3.6632613185954335,6.27142298889075,3.279182716462904,5.398314073577849,3.139619270920561,5.053313236197175,100.0,100.0,9.942499860436554,100.0,3.2211243231172895,5.9152570758666885,2.5154915424552002,100.0,3.5214648579244128,5.1381678110869204,100.0,100.0,100.0,100.0,100.0,4.909283760397477,100.0,12.100708982303356,92.45240886507005,93.88712108524535,100.0,95.87673756489701,96.53436052029252,100.0,98.66912298330821,100.0,100.0,7.624630156869312,4.491709931334785,96.99212862167141,88.80924468263272,100.0,100.0,97.83397532518283,98.79752135320716,98.81761848936527,98.63339474124938,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.989002400491264,11.117065818120917,7.3309886674482225,100.0,100.0,100.0,100.0,100.0,100.0,4.616758778540725,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.236029699101211,6.477976888293418,3.758164461564227,3.7670965220789374,8.1717188633953,5.862781220342768,100.0,100.0,100.0,4.603360687768659,5.2219058784123265,2.489811868475409,1.2449059342377045,100.0,100.0,100.0,100.0,34.35605426226763,34.513481828839396,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.326131859543348,100.0,100.0,100.0,100.0,100.0
7.0,100.0,4.7839950627442915,2.6301172598230815,5.016457519029006,1.8535280806418433,3.885003085784818,1.7948981691010082,3.72968524994857,100.0,100.0,9.23369677021189,3.4128780086401975,1.4081464719193582,3.542480970993623,1.2116848385105945,100.0,1.7095247891380374,100.0,100.0,100.0,100.0,100.0,100.0,4.44661592264966,25.898991976959472,14.216210656243572,92.80806418432421,87.5272577658918,100.0,89.80662415140918,97.50977165192347,100.0,97.45834190495782,100.0,100.0,5.9041349516560375,2.94898169101008,100.0,93.08269903312075,19.299526846327915,100.0,94.16375231433861,98.75951450318864,100.0,94.4178152643489,21.850442295823903,16.30220119317013,19.774737708290473,20.18411849413701,97.63320304464102,95.55646986216829,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.973050812590002,9.476445175889735,5.028800658300761,7.125077144620448,100.0,100.0,100.0,100.0,100.0,2.160049372557087,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.665500925735445,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.4715079201810326,5.019543303846945,2.9356099567990124,3.0868134128780085,8.708084756222998,4.932112734005348,100.0,100.0,100.0,3.694713022011932,3.8952890351779472,1.8514708907632176,100.0,100.0,100.0,100.0,100.0,5.003085784817938,100.0,4.930055544126723,4.6523349105122405,100.0,2.605430981279572,2.786463690598642,2.8049783995062745,7.730919563875746,3.1670438181444145,2.880065830076116,2.370911335116231,2.9047521086196255,100.0,2.09010491668381,1.7362682575601727,3.482822464513475,4.462044846739354,4.069121579921827
