wave,unweighted_mean,unweighted_variance,n_countries
1.0,-0.0028479322504584154,0.09091109255038775,7
2.0,-0.009494566930780202,0.03664045646954054,18
3.0,0.0006461524915136064,0.02792126757339418,55
4.0,-0.0017965025948949267,0.032079734776257085,41
5.0,-0.015514852506490668,0.027222366663943343,58
6.0,-0.005012746726235027,0.025588885136882233,60
7.0,-0.005975049258230872,0.018543325289661794,66
