wave,weighting_year,weighted_variance,n_countries,top1_share,balanced_panel
1.0,1974,,0,,False
1.0,1975,,0,,False
1.0,1976,,0,,False
1.0,1977,,0,,False
1.0,1978,,0,,False
1.0,1979,,0,,False
1.0,1980,,0,,False
1.0,1981,,0,,False
1.0,1982,,0,,False
1.0,1983,,0,,False
1.0,1984,,0,,False
1.0,1985,,0,,False
1.0,1986,,0,,False
1.0,1987,,0,,False
1.0,1988,,0,,False
1.0,1989,,0,,False
1.0,1990,,0,,False
1.0,1991,,0,,False
1.0,1992,,0,,False
1.0,1993,,0,,False
1.0,1994,,0,,False
1.0,1995,,0,,False
1.0,1996,,0,,False
1.0,1997,,0,,False
1.0,1998,,0,,False
1.0,1999,,0,,False
1.0,2000,,0,,False
1.0,2001,,0,,False
1.0,2002,,0,,False
1.0,2003,,0,,False
1.0,2004,,0,,False
1.0,2005,,0,,False
1.0,2006,,0,,False
1.0,2007,,0,,False
1.0,2008,,0,,False
1.0,2009,,0,,False
1.0,2010,,0,,False
1.0,2011,,0,,False
1.0,2012,,0,,False
1.0,2013,,0,,False
1.0,2014,,0,,False
1.0,2015,,0,,False
1.0,2016,,0,,False
1.0,2017,,0,,False
1.0,2018,,0,,False
1.0,2019,,0,,False
1.0,2020,,0,,False
1.0,2021,,0,,False
1.0,2022,,0,,False
1.0,2023,,0,,False
2.0,1974,0.030860329799268404,12,0.4008174495878233,False
2.0,1975,0.028497603649221888,12,0.4020877680067714,False
2.0,1976,0.027606664488979964,12,0.41695513137352247,False
2.0,1977,0.027237051597086104,12,0.4404771411452512,False
2.0,1978,0.027821179753315675,12,0.49387078575316967,False
2.0,1979,0.026533552407842564,12,0.4611528070715764,False
2.0,1980,0.027236264701040114,12,0.43837851451248705,False
2.0,1981,0.02628425941899652,12,0.4332753691631074,False
2.0,1982,0.02671470462631494,12,0.4305074082216807,False
2.0,1983,0.02847983356269368,12,0.4700506958272668,False
2.0,1984,0.028688727293179776,12,0.478112649687323,False
2.0,1985,0.02671366918155649,12,0.48073583964042144,False
2.0,1986,0.024937819956006725,12,0.5642353767166395,False
2.0,1987,0.024040461412408905,12,0.5868956281073762,False
2.0,1988,0.02355157511826472,12,0.6014389184324149,False
2.0,1989,0.0224854456915697,12,0.5742510247815517,False
2.0,1990,0.02465356645810282,13,0.5323386292075264,False
2.0,1991,0.025034011787385804,13,0.5592232531113298,False
2.0,1992,0.02636386617148009,14,0.5265032984936066,False
2.0,1993,0.027278517637716784,17,0.5431872607723767,False
2.0,1994,0.027023897359652545,17,0.5414867403453538,False
2.0,1995,0.02634763243277016,17,0.5320442644142412,False
2.0,1996,0.027148984076721228,17,0.4798860790234104,False
2.0,1997,0.02757671924663286,17,0.44728958669198854,False
2.0,1998,0.0280560133213827,17,0.42874782627081665,False
2.0,1999,0.028225262835456105,17,0.470533901896344,False
2.0,2000,0.02780159057844439,17,0.4680758217031146,False
2.0,2001,0.027979110874807207,17,0.4334955671432631,False
2.0,2002,0.026412543302887097,17,0.41271381347206965,False
2.0,2003,0.027097712097251796,17,0.3979810275301596,False
2.0,2004,0.02746877029405981,17,0.3757769647839107,False
2.0,2005,0.02739746043344232,17,0.33483241837969935,False
2.0,2006,0.026793107366761763,17,0.29082911023629465,False
2.0,2007,0.02617632641210961,17,0.2502644130926266,False
2.0,2008,0.025840898143300536,17,0.24314240807820262,False
2.0,2009,0.025411892188894464,17,0.25710140422172134,False
2.0,2010,0.024601232299998475,17,0.25392560108437,False
2.0,2011,0.023763781393480655,17,0.2730780537332326,False
2.0,2012,0.023075043952384803,17,0.29800810509580933,False
2.0,2013,0.021598770766716728,17,0.3291179225163828,False
2.0,2014,0.020607587172383705,17,0.35188479859760025,False
2.0,2015,0.0204094404171285,17,0.394811813363726,False
2.0,2016,0.020996443051436605,17,0.39176663108546994,False
2.0,2017,0.020195943671877877,17,0.3958019265073255,False
2.0,2018,0.01924264806450498,17,0.42021484972669876,False
2.0,2019,0.018877021582140472,17,0.42576414401232865,False
2.0,2020,0.018657498178923263,17,0.4505588062875714,False
2.0,2021,0.017559612576943922,17,0.4716065282410255,False
2.0,2022,0.016787024988130426,17,0.46801349742560067,False
2.0,2023,0.01741691304125112,17,0.45527842284244663,False
3.0,1974,0.03325833959678324,32,0.40509458375162455,False
3.0,1975,0.03323156480220932,32,0.40128850912665304,False
3.0,1976,0.03313493221718605,32,0.41211483083133094,False
3.0,1977,0.03326634450733444,32,0.40480488408120585,False
3.0,1978,0.03135895292775214,32,0.38380504191314174,False
3.0,1979,0.03157628063857413,32,0.37602063296226657,False
3.0,1980,0.03225445990061703,34,0.36741693278076387,False
3.0,1981,0.033085271603725874,34,0.38728629544535903,False
3.0,1982,0.03331685054078267,34,0.4080012084348927,False
3.0,1983,0.03248064862016564,34,0.43172061767567077,False
3.0,1984,0.03268218600116884,34,0.45510768018792763,False
3.0,1985,0.033338115719285154,34,0.46365980337996104,False
3.0,1986,0.03083425098358076,34,0.4181131695252511,False
3.0,1987,0.030195760030836384,35,0.38911540573794784,False
3.0,1988,0.029847337588466458,35,0.3724147128187837,False
3.0,1989,0.030872631890474594,35,0.38153594625884635,False
3.0,1990,0.030219150145483726,36,0.36361090443907773,False
3.0,1991,0.028880001156954587,36,0.3557594507600828,False
3.0,1992,0.034556353973486185,44,0.3414525174597708,False
3.0,1993,0.03458750456816758,49,0.3438469945321436,False
3.0,1994,0.03447463946567564,49,0.3375083760581497,False
3.0,1995,0.03428051984577557,51,0.3179882584584797,False
3.0,1996,0.03569585601295069,51,0.3313099722166084,False
3.0,1997,0.037132715724659794,51,0.3499899810726755,False
3.0,1998,0.03634838280859635,51,0.36862720797720694,False
3.0,1999,0.03493111982790984,51,0.37858079303073366,False
3.0,2000,0.0366825208726441,51,0.38513340868347296,False
3.0,2001,0.03794997301288326,51,0.40096701103597804,False
3.0,2002,0.03853348257808911,51,0.40220846116305453,False
3.0,2003,0.038496246497654485,52,0.3815137401584082,False
3.0,2004,0.03955562015883974,52,0.36316382204112335,False
3.0,2005,0.041683093972506836,52,0.3581914482267808,False
3.0,2006,0.044020925973394444,52,0.35203703548660786,False
3.0,2007,0.046192003619451784,54,0.32925798277020396,False
3.0,2008,0.04799057014709784,54,0.30832505485167294,False
3.0,2009,0.04812980149908493,54,0.3161052449754676,False
3.0,2010,0.049598144101829,54,0.29828895730881616,False
3.0,2011,0.051102096815163485,54,0.2786469198073627,False
3.0,2012,0.052372311957150246,54,0.2817779732951127,False
3.0,2013,0.05382075108219323,54,0.2847032571633163,False
3.0,2014,0.05382724438493127,54,0.28783274502039313,False
3.0,2015,0.054401102000345,53,0.31353609705927893,False
3.0,2016,0.0543669410506883,53,0.3168072206440494,False
3.0,2017,0.05541680392943662,53,0.31012067394208737,False
3.0,2018,0.055820008537686296,53,0.3075436103806039,False
3.0,2019,0.05624512662904861,53,0.3150062696475427,False
3.0,2020,0.05633476023882155,53,0.31925970077733934,False
3.0,2021,0.057317868080292045,53,0.3105030664347602,False
3.0,2022,0.05890102377130229,53,0.3286371788038824,False
3.0,2023,0.057958842759485193,53,0.3356076007586197,False
4.0,1974,0.021622192730237293,33,0.4884990992841139,False
4.0,1975,0.02099685347402387,33,0.4880257729299508,False
4.0,1976,0.020774219035722758,33,0.4907847139750045,False
4.0,1977,0.020676592246564412,33,0.4839157807823542,False
4.0,1978,0.020149118005885203,33,0.4681240424087005,False
4.0,1979,0.020888825441944467,33,0.46379088089570014,False
4.0,1980,0.021264410587461775,34,0.45246834113549966,False
4.0,1981,0.020946226796123613,34,0.4571923831890996,False
4.0,1982,0.0205766536303757,34,0.47978160170664363,False
4.0,1983,0.02043448994885102,34,0.49338020179636255,False
4.0,1984,0.020027408870296415,34,0.5105367268702224,False
4.0,1985,0.019871975984254185,35,0.517430311724907,False
4.0,1986,0.01846993535291463,35,0.4841156948604697,False
4.0,1987,0.017504570904590292,35,0.4667888463933325,False
4.0,1988,0.01711537170129535,35,0.4489616483784607,False
4.0,1989,0.01709394871581344,35,0.46041331816382913,False
4.0,1990,0.01868304467994146,35,0.4484788956377853,False
4.0,1991,0.017465736619800738,35,0.43876342868817464,False
4.0,1992,0.01767105307980053,38,0.4338749816978602,False
4.0,1993,0.017704736466758977,39,0.4292282218462787,False
4.0,1994,0.01728316503516404,39,0.4225180807026803,False
4.0,1995,0.01682257083854321,39,0.4078180600678849,False
4.0,1996,0.01790746422937096,39,0.42328527233500923,False
4.0,1997,0.018739722553487534,39,0.44296308429521347,False
4.0,1998,0.019544107215632874,39,0.46897705277890434,False
4.0,1999,0.019278482812769785,39,0.46549863054767626,False
4.0,2000,0.019360534262714838,39,0.4623429903462437,False
4.0,2001,0.019425529575206,39,0.4815227837845832,False
4.0,2002,0.019339778759323342,39,0.48771572253147133,False
4.0,2003,0.019666797781457954,39,0.4712175623512444,False
4.0,2004,0.020356252212468725,39,0.45533279938070076,False
4.0,2005,0.02140095329094365,39,0.44911960290205627,False
4.0,2006,0.022208252986399193,39,0.4423880850718798,False
4.0,2007,0.02338669124864813,41,0.42121695460298,False
4.0,2008,0.023182766554304252,41,0.39636943238852984,False
4.0,2009,0.022650876060885047,41,0.39308066847090783,False
4.0,2010,0.023461091025378536,41,0.3675164115597019,False
4.0,2011,0.023472970059194815,41,0.34586903195836866,False
4.0,2012,0.023328803289802854,41,0.3447345522180115,False
4.0,2013,0.02366255326982747,41,0.3503491716034571,False
4.0,2014,0.023648312520462195,41,0.3523952014163251,False
4.0,2015,0.023655599862923204,40,0.371062652683934,False
4.0,2016,0.02362581609044595,40,0.3700416269295121,False
4.0,2017,0.023922165625270827,40,0.364059018992505,False
4.0,2018,0.02318231125261051,40,0.36103140620390445,False
4.0,2019,0.023144692270483866,40,0.3668604084679615,False
4.0,2020,0.022607697963306733,40,0.3693454765084977,False
4.0,2021,0.022941251041189124,40,0.3590659349683449,False
4.0,2022,0.02374628320303615,40,0.37753372260920953,False
4.0,2023,0.024458587008321334,40,0.38875357316642883,False
5.0,1974,0.01788826037407219,45,0.3361733485964159,False
5.0,1975,0.017703837995392806,46,0.3295969788879526,False
5.0,1976,0.01834634874351639,46,0.3382325128464618,False
5.0,1977,0.018305320631076715,46,0.3327890759679087,False
5.0,1978,0.01739385410653593,46,0.3162293482213485,False
5.0,1979,0.01744387729725073,46,0.30736697080114117,False
5.0,1980,0.01789425935773328,47,0.29828759319480314,False
5.0,1981,0.018652468697236347,47,0.3258954737854876,False
5.0,1982,0.01892072762217768,47,0.34171915573861167,False
5.0,1983,0.018142659938445313,47,0.35985079646157403,False
5.0,1984,0.018281560250346506,47,0.38176090392870365,False
5.0,1985,0.018455756344582266,49,0.38923174106628916,False
5.0,1986,0.016915237397659506,49,0.3447561776852965,False
5.0,1987,0.015993699624316328,50,0.31932540450092023,False
5.0,1988,0.015488672939355826,50,0.307220454910981,False
5.0,1989,0.016197561618009098,50,0.3152240410721516,False
5.0,1990,0.016779090826854345,51,0.29465438792294835,False
5.0,1991,0.014764851271305533,51,0.29198808822813427,False
5.0,1992,0.01630474742498302,55,0.2821162816849455,False
5.0,1993,0.01645093901351889,55,0.2915163040324304,False
5.0,1994,0.016628425187264238,55,0.28765194389412535,False
5.0,1995,0.016802437234606084,55,0.27159697078227524,False
5.0,1996,0.017665500470111742,55,0.281659984569292,False
5.0,1997,0.01853590043205422,55,0.3006496624962722,False
5.0,1998,0.018233016956618633,55,0.31825452132922155,False
5.0,1999,0.016943136454983965,55,0.32552308621129683,False
5.0,2000,0.01771797978367028,55,0.3354503936163709,False
5.0,2001,0.017755308562413214,55,0.34874711101739125,False
5.0,2002,0.0175069670288497,55,0.3476302809718136,False
5.0,2003,0.017473210638610355,56,0.32545416395402976,False
5.0,2004,0.018114377554865446,56,0.30918989081286596,False
5.0,2005,0.019537931354491056,56,0.3062030778311373,False
5.0,2006,0.020751834007436295,56,0.30104659854538585,False
5.0,2007,0.021961209728989326,57,0.28083057487989693,False
5.0,2008,0.022616288736786543,57,0.2629936485849516,False
5.0,2009,0.02213857682436551,57,0.2706554832559673,False
5.0,2010,0.023563582463169454,57,0.2569890027706293,False
5.0,2011,0.024250770210536808,57,0.23963929486680313,False
5.0,2012,0.024398813443801265,57,0.24465969241068572,False
5.0,2013,0.02447648148950574,57,0.24772669768122962,False
5.0,2014,0.024060345610854374,57,0.25213400889375825,False
5.0,2015,0.023042739735270285,57,0.27576478558659245,False
5.0,2016,0.022914745305700444,57,0.2782089358123237,False
5.0,2017,0.02345835410669673,57,0.27259558211049895,False
5.0,2018,0.022837177027496637,57,0.27066554575685614,False
5.0,2019,0.022837358234455873,57,0.27803575965608235,False
5.0,2020,0.022086612790332263,57,0.28248166643992795,False
5.0,2021,0.02248389306688438,57,0.27460232193174977,False
5.0,2022,0.023528785302050558,57,0.29167223675892606,False
5.0,2023,0.023601776444716054,57,0.29721738113413826,False
6.0,1974,0.027907222526733465,42,0.4225568683401125,False
6.0,1975,0.027949444973359123,43,0.42110887827401516,False
6.0,1976,0.027945501175524357,43,0.427286791086771,False
6.0,1977,0.02757781300336411,43,0.4185586938983758,False
6.0,1978,0.02652576858423482,43,0.39895938310557527,False
6.0,1979,0.027012260601448533,43,0.39223746398645826,False
6.0,1980,0.028500684778406272,43,0.38684785744524436,False
6.0,1981,0.02927101720088283,43,0.40732681249118746,False
6.0,1982,0.028889397910578356,43,0.4278730337905527,False
6.0,1983,0.027112546812851038,43,0.4503381385472688,False
6.0,1984,0.026891480359952678,43,0.47130672233993637,False
6.0,1985,0.027253991204699898,43,0.480747904111595,False
6.0,1986,0.024775465811327814,43,0.436804282138198,False
6.0,1987,0.025294477319437587,44,0.40873096998726094,False
6.0,1988,0.02471150105100668,45,0.39417797870893007,False
6.0,1989,0.026058033669294194,45,0.40196959672238974,False
6.0,1990,0.026478910186114223,47,0.3820178596912569,False
6.0,1991,0.023749222289519163,47,0.37708646276597796,False
6.0,1992,0.02920884035599535,55,0.35841048894517136,False
6.0,1993,0.029345002256151755,57,0.35758631589401674,False
6.0,1994,0.029203162053887316,58,0.3507918526743882,False
6.0,1995,0.02857861431809286,58,0.3327009204517299,False
6.0,1996,0.029917642857299843,58,0.3466082088754854,False
6.0,1997,0.03164318629228115,58,0.36795801196656147,False
6.0,1998,0.03088789160864045,58,0.3906826271341511,False
6.0,1999,0.02867660346890906,58,0.4002546760827295,False
6.0,2000,0.029855651766440856,58,0.40525747502167436,False
6.0,2001,0.03057923775222674,58,0.422778970054569,False
6.0,2002,0.03061976052902017,58,0.4259545998277262,False
6.0,2003,0.030591402956913646,59,0.405574481717757,False
6.0,2004,0.03172682800624705,59,0.3876438391303371,False
6.0,2005,0.03397898059384442,59,0.38126075472063486,False
