country,wave,year,n_respondents,index_all,index_imf,index_idawb,index_unsc
ALB,3.0,1998.0,998,0.1062154966305354,0.3248967785381723,-0.1881459075211936,0.4257524770788105
ALB,4.0,2002.0,1000,0.1669309469184383,0.2874743145319966,0.0992298027332338,0.2328643339785108
AND,5.0,2005.0,1003,-0.1222632099774848,-0.2169084691915813,0.181704978660071,-0.4770207769110784
AND,7.0,2018.0,1004,0.0712832875790422,0.08487484571248,0.2814599429127676,-0.3246229312684435
ARG,1.0,1984.0,1001,-0.0317314532307079,0.1540534238837335,,-0.2175163303451494
ARG,2.0,1991.0,1002,0.0831643038428666,0.1885731865863251,0.2469127816561143,-0.2151190619725963
ARG,3.0,1995.0,1079,-0.1109651964023352,-0.0894799641576046,0.107876933420897,-0.3911749756799354
ARG,4.0,1999.0,1280,-0.1926167686137418,-0.1171271125714017,-0.2098973438633981,-0.235449290510747
ARG,5.0,2006.0,1002,-0.1055548315307016,-0.0893469603937222,-0.1009992736067606,-0.2292652597390594
ARG,6.0,2013.0,1030,-0.0223417106172459,0.0236310397109327,0.0407595717983226,-0.2373451930178803
ARG,7.0,2017.0,1003,0.0273614041513815,0.1671176406795237,0.0265630358491238,-0.1773332452295096
ARM,3.0,1997.0,1999,0.0291012248150132,-0.0764783080919056,-0.1905206901785998,0.4742434800226016
ARM,6.0,2011.0,1100,-0.0264190447661077,-0.0120195773089858,-0.2369648889136436,0.3059406089856833
ARM,7.0,2021.0,1223,-0.0061350470175978,-0.1169029369490866,-0.138844172828174,0.3015556553478289
AUS,1.0,1981.0,1227,,,,
AUS,3.0,1995.0,2048,-0.0417332425816218,-0.0998291169493634,0.2686658032851292,-0.3158928667510774
AUS,5.0,2005.0,1421,0.0690044555145185,-0.0419910482807462,0.2420211041100883,-0.0638878754501961
AUS,6.0,2012.0,1475,0.155985300364899,0.0311641693585851,0.2841273419762443,0.1170269411758696
AUS,7.0,2018.0,1811,0.115581340880636,0.0382641733905871,0.2703671779681421,-0.0541756247382576
AZE,3.0,1997.0,2002,0.1543996259549944,0.0329102776308751,0.1143895960589192,0.3451969893248735
AZE,6.0,2011.0,1002,0.0388922595407746,-0.0791767038769842,0.151084427327817,0.0217495273342837
BFA,5.0,2007.0,1534,0.0708807987232425,0.0591450328564416,0.0750615352838174,0.0845872555208575
BGD,3.0,1996.0,1524,0.2697138070748242,0.2375247143583721,0.308831821881419,0.2168180830472151
BGD,4.0,2002.0,1500,0.2358306835806864,0.0525490629203847,0.2527795534214928,0.3622369455285788
BGD,7.0,2018.0,1200,-0.0487098458516858,-0.1697470466569634,-0.0748355063728547,0.2664283335529104
BGR,3.0,1997.0,1072,0.0789753199236277,0.1863676907886144,-0.1248076192430243,0.1947767390196173
BGR,5.0,2006.0,1000,-0.0367961363147966,0.2002029381368008,-0.2566595831941916,0.0552630551492647
BIH,3.0,1998.0,1200,0.1125120256592742,0.1461873912362359,0.0008451732747188,0.2816113492082424
BIH,4.0,2001.0,1200,0.0613813913364652,0.2086264873386001,0.0018928779710235,0.0286084356290146
BLR,2.0,1990.0,1015,0.0737499010454505,0.0506011355709687,-0.0335719517508159,0.1250398637798789
BLR,3.0,1996.0,2092,0.0520800631284108,0.1297987701573056,-0.1546063514906684,0.2048395477268291
BLR,6.0,2011.0,1535,0.0892211395644804,0.2982871375094332,0.0335898914960823,-0.0386113727453866
BOL,7.0,2017.0,2067,-0.0825395502691243,-0.2059977600895279,0.0085244966354781,-0.1500822330556859
BRA,2.0,1991.0,1782,-0.0374641466995589,-0.0354571447973447,-0.0324933025548993,-0.0089176967152828
BRA,3.0,1997.0,1143,-0.0985551047686376,-0.1893461971632768,-0.1450360600102205,0.0781520686785392
BRA,5.0,2006.0,1500,-0.110235451511204,-0.060664526445913,-0.1803543258805149,0.0032564002651733
BRA,6.0,2014.0,1486,-0.1788310603820646,-0.1081480725777967,-0.1987728823990114,-0.1421115453904946
BRA,7.0,2018.0,1762,-0.1833246199638539,-0.0069819942142682,-0.2652604335269241,-0.1169263683044815
CAN,4.0,2000.0,1931,0.0418112468758427,0.0400968393825246,0.2943434215791164,-0.3298883237873815
