country,wave,year,n_respondents,index_all_ym,index_imf_ym,index_idawb_ym,index_unsc_ym,index_all_y,index_imf_y,index_idawb_y,index_unsc_y
ALB,3.0,1998.0,998,0.08076498638344011,0.2746477645748614,-0.13926144487610093,0.2770890879900253,0.10621549663053545,0.3248967785381723,-0.18814590752119364,0.42575247707881053
ALB,4.0,2002.0,1000,0.13365219284239974,0.26587992944413835,0.12389012457167037,0.07766868302508251,0.16693094691843832,0.2874743145319966,0.09922980273323388,0.23286433397851083
AND,5.0,2005.0,1003,-0.15133056926814206,-0.2263339052161609,0.13239624954162568,-0.5225110986315613,-0.1222632099774848,-0.21690846919158135,0.18170497866007101,-0.4770207769110784
AND,7.0,2018.0,1004,0.04682130237724761,0.135982944948858,0.22794248063878517,-0.38811931088494867,0.07128328757904229,0.08487484571248007,0.28145994291276766,-0.32462293126844355
ARG,1.0,1984.0,1001,-0.3047145531850628,0.15405342388373358,,-0.4688141787025114,-0.03173145323070791,0.15405342388373358,,-0.2175163303451494
ARG,2.0,1991.0,1002,-0.03602468542053352,0.14787966768053099,0.24691278165611433,-0.3738183124616966,0.08316430384286665,0.18857318658632516,0.24691278165611433,-0.21511906197259634
ARG,3.0,1995.0,1079,-0.14246334940379365,-0.10945657590678462,0.10160049965923974,-0.4474226385431606,-0.1109651964023352,-0.08947996415760467,0.10787693342089709,-0.3911749756799354
ARG,4.0,1999.0,1280,-0.22087493147539,-0.14922939555900852,-0.1787992904069388,-0.33397825579076307,-0.19261676861374183,-0.11712711257140171,-0.20989734386339812,-0.23544929051074703
ARG,5.0,2006.0,1002,-0.17831894898513762,-0.14767963192501743,-0.11694854518795687,-0.335423856362098,-0.10555483153070164,-0.08934696039372222,-0.1009992736067606,-0.2292652597390594
ARG,6.0,2013.0,1030,-0.12211011536242596,-0.04444807236672763,-0.002425891651745092,-0.3808102882888422,-0.022341710617245977,0.023631039710932732,0.04075957179832266,-0.23734519301788037
ARG,7.0,2017.0,1003,-0.050390153923046334,0.0843920159677783,0.013892746334096966,-0.293437034228426,0.02736140415138155,0.16711764067952373,0.02656303584912381,-0.17733324522950963
ARM,3.0,1997.0,1999,0.01846656533963516,-0.10852515666973002,-0.15600477140460137,0.34693105999511126,0.029101224815013295,-0.07647830809190569,-0.19052069017859982,0.47424348002260164
ARM,6.0,2011.0,1100,0.038844812717837865,0.024032771205172616,-0.19667337716363137,0.36305421885186956,-0.02641904476610776,-0.012019577308985813,-0.2369648889136436,0.3059406089856833
ARM,7.0,2021.0,1223,0.02245433518343042,-0.013999302429529887,-0.158915469670569,0.2715987414343486,-0.0061350470175978375,-0.11690293694908663,-0.13884417282817402,0.3015556553478289
AUS,1.0,1981.0,1227,0.11438432788816447,,,0.11438432788816447,,,,
