country,wave,year,n_respondents,index_all,index_imf,index_idawb,index_unsc
ARG,1.0,1984.0,1002,-0.2606774506126494,0.1540534238837335,,-0.3759283070572746
ARG,2.0,1991.0,1002,0.0304048240309213,0.1457804600206498,0.1176605504279476,-0.0973593637014798
ARG,3.0,1995.0,1079,-0.0638640621617499,-0.1172228465317632,0.051681976636866,-0.2548305140451831
ARG,4.0,1999.0,1280,-0.2715129817571963,-0.1492293955590085,-0.2383911420298191,-0.3734402770223334
ARG,5.0,2006.0,1002,-0.0187200462471551,-0.0864143452190015,0.0192693175638232,-0.094620234969827
ARG,6.0,2013.0,1030,-0.0617138440419789,-0.1309551344671921,0.0409763407581922,-0.2799480296651501
ARG,7.0,2017.0,1003,-0.0161858321356998,-0.1441747485326805,0.0195265371055197,-0.0003598822018977
CHL,2.0,1990.0,1500,-0.0794327457456523,-0.0375736645252813,-0.1570345684232318,-0.0572616183922059
CHL,3.0,1996.0,1000,-0.061440409852253,-0.0980843090663559,-0.048384036662321,-0.0800435514891322
CHL,4.0,2000.0,1200,-0.1066222233948698,-0.0878451132850118,-0.1042006166815005,-0.1298715932958234
CHL,5.0,2006.0,1000,-0.0733025085826904,-0.1514658911406374,-0.0728496893631498,-0.0486262264248351
CHL,6.0,2012.0,1000,-0.0694773418774039,-0.2064480732382206,0.0025940441091539,-0.1749399016101195
CHL,7.0,2018.0,1000,-0.0623860217547777,-0.0745735332529659,-0.1116826620838878,-0.0012401291942499
CHN,2.0,1990.0,1000,0.1849370939164969,0.106607276667054,-0.054865683818041,0.3668536292866807
CHN,3.0,1995.0,1500,0.1072903726063345,0.1365395512632408,-0.0643732735922538,0.2678312763781967
CHN,4.0,2001.0,999,0.0880849359936264,-0.0513557825553237,0.0268134833379645,0.2342252540452425
CHN,5.0,2007.0,1979,0.1105769677455581,0.081446569520823,0.0598175614190292,0.1899097752637917
CHN,6.0,2013.0,2250,0.163471826914355,0.2045724277062406,0.0815369942010818,0.2728774242232845
CHN,7.0,2018.0,3036,0.1633261114055899,0.2130521762588546,0.1268179876159933,0.171598184685959
IND,2.0,1990.0,2500,0.0592155446409539,-0.0416559093144452,-0.0564488645492302,0.2244035886834369
IND,3.0,1995.0,2035,-0.0113643510244271,-0.0220184559779197,-0.1038284603605922,0.1448542747850375
IND,4.0,2001.0,1967,-0.0876205407429052,-0.1243615654028951,-0.148380748644497,0.0043775826012097
IND,5.0,2006.0,1977,-0.0935284157897298,-0.1202153326975993,-0.0965282262343693,-0.0803824274730188
IND,6.0,2012.0,4077,0.0216970417617777,0.0702622891473092,-0.0653529820094126,0.1984564102837163
IND,7.0,2023.0,1692,0.0339754957329521,-0.0175995843202956,0.0617610221236659,0.0105220045006972
JPN,1.0,1981.0,1192,-0.1942292917409778,0.332477915312494,,-0.3309414789535884
JPN,2.0,1990.0,1010,-0.1824681436736023,-0.1683718613052699,-0.1580915965840238,-0.1885079569374129
JPN,3.0,1995.0,1054,-0.0166377484440343,-0.0629705037115942,0.1044369755362649,-0.1938333738125314
JPN,4.0,2000.0,1361,-0.047102146791443,-0.1804058656462907,0.0274560409068366,-0.0817361921477211
JPN,5.0,2005.0,1096,-0.0674730135762336,-0.1224381534240872,-0.0898833952089985,0.0564050660973372
JPN,6.0,2010.0,2439,-0.0018711459742847,-0.0403276288001805,0.0306006621263223,0.0055412475894365
JPN,7.0,2019.0,1353,0.1065277646347559,0.1065353363511191,0.1211802490638747,0.1009700958737827
KOR,1.0,1982.0,967,0.2067886664172604,0.1199627902443629,,0.2249402855830322
KOR,2.0,1990.0,1251,0.0137002665524777,0.0631009135780211,0.0268277786160265,-0.0222912015515686
